Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:45:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:45:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:46:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:46:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:47:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:47:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:48:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:48:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:49:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:49:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:50:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:50:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:51:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:51:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:52:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:52:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:53:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:53:44 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:54:14 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:54:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:55:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:55:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:56:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:56:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:57:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:57:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:58:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:58:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:59:15 ] 
